"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %","Počet platných hlasov v mestách a mestských častiach","Podiel platných hlasov v mestách a mestských častiach v %","Počet platných hlasov v obciach","Podiel platných hlasov v obciach v %"
5,"Žilinský kraj",506,"Ružomberok",508,"Ružomberok",2,"Peter","Pellegrini",15227,50.68,6622,48.23,8605,52.74
5,"Žilinský kraj",507,"Žilina",501,"Bytča",1,"Ivan","Korčok",6027,35.36,2535,40.56,3492,32.35
5,"Žilinský kraj",507,"Žilina",501,"Bytča",2,"Peter","Pellegrini",11015,64.63,3715,59.44,7300,67.64
5,"Žilinský kraj",507,"Žilina",504,"Kysucké Nové Mesto",1,"Ivan","Korčok",5811,32.31,2744,34.21,3067,30.78
5,"Žilinský kraj",507,"Žilina",504,"Kysucké Nové Mesto",2,"Peter","Pellegrini",12173,67.68,5277,65.78,6896,69.21
5,"Žilinský kraj",507,"Žilina",511,"Žilina",1,"Ivan","Korčok",43473,48.08,26857,53.61,16616,41.20
5,"Žilinský kraj",507,"Žilina",511,"Žilina",2,"Peter","Pellegrini",46945,51.91,23231,46.38,23714,58.79
6,"Banskobystrický kraj",601,"Banská Bystrica",601,"Banská Bystrica",1,"Ivan","Korčok",29578,49.41,21496,52.94,8082,41.96
6,"Banskobystrický kraj",601,"Banská Bystrica",601,"Banská Bystrica",2,"Peter","Pellegrini",30280,50.58,19103,47.05,11177,58.03
6,"Banskobystrický kraj",602,"Brezno",603,"Brezno",1,"Ivan","Korčok",9680,34.16,3781,40.58,5899,31.01
6,"Banskobystrický kraj",602,"Brezno",603,"Brezno",2,"Peter","Pellegrini",18654,65.83,5535,59.41,13119,68.98
6,"Banskobystrický kraj",603,"Lučenec",606,"Lučenec",1,"Ivan","Korčok",10141,38.16,5985,44.58,4156,31.61
6,"Banskobystrický kraj",603,"Lučenec",606,"Lučenec",2,"Peter","Pellegrini",16429,61.83,7440,55.41,8989,68.38
6,"Banskobystrický kraj",603,"Lučenec",607,"Poltár",1,"Ivan","Korčok",2430,24.60,602,24.19,1828,24.74
6,"Banskobystrický kraj",603,"Lučenec",607,"Poltár",2,"Peter","Pellegrini",7445,75.39,1886,75.80,5559,75.25
6,"Banskobystrický kraj",604,"Rimavská Sobota",608,"Revúca",1,"Ivan","Korčok",3611,27.92,2331,32.36,1280,22.34
6,"Banskobystrický kraj",604,"Rimavská Sobota",608,"Revúca",2,"Peter","Pellegrini",9320,72.07,4871,67.63,4449,77.65
6,"Banskobystrický kraj",604,"Rimavská Sobota",609,"Rimavská Sobota",1,"Ivan","Korčok",7985,30.13,4752,38.61,3233,22.77
6,"Banskobystrický kraj",604,"Rimavská Sobota",609,"Rimavská Sobota",2,"Peter","Pellegrini",18514,69.86,7554,61.38,10960,77.22
6,"Banskobystrický kraj",605,"Veľký Krtíš",610,"Veľký Krtíš",1,"Ivan","Korčok",5302,31.28,1833,36.88,3469,28.96
6,"Banskobystrický kraj",605,"Veľký Krtíš",610,"Veľký Krtíš",2,"Peter","Pellegrini",11646,68.71,3137,63.11,8509,71.03
6,"Banskobystrický kraj",606,"Zvolen",604,"Detva",1,"Ivan","Korčok",5164,30.78,3259,30.01,1905,32.18
6,"Banskobystrický kraj",606,"Zvolen",604,"Detva",2,"Peter","Pellegrini",11611,69.21,7598,69.98,4013,67.81
6,"Banskobystrický kraj",606,"Zvolen",605,"Krupina",1,"Ivan","Korčok",3869,35.45,1947,39.75,1922,31.95
6,"Banskobystrický kraj",606,"Zvolen",605,"Krupina",2,"Peter","Pellegrini",7043,64.54,2950,60.24,4093,68.04
6,"Banskobystrický kraj",606,"Zvolen",611,"Zvolen",1,"Ivan","Korčok",16398,47.52,11363,49.83,5035,43.01
6,"Banskobystrický kraj",606,"Zvolen",611,"Zvolen",2,"Peter","Pellegrini",18108,52.47,11437,50.16,6671,56.98
6,"Banskobystrický kraj",607,"Žiar nad Hronom",602,"Banská Štiavnica",1,"Ivan","Korčok",3633,43.11,2342,46.76,1291,37.77
6,"Banskobystrický kraj",607,"Žiar nad Hronom",602,"Banská Štiavnica",2,"Peter","Pellegrini",4793,56.88,2666,53.23,2127,62.22
6,"Banskobystrický kraj",607,"Žiar nad Hronom",612,"Žarnovica",1,"Ivan","Korčok",4829,36.35,2667,41.37,2162,31.61
6,"Banskobystrický kraj",607,"Žiar nad Hronom",612,"Žarnovica",2,"Peter","Pellegrini",8455,63.64,3779,58.62,4676,68.38
6,"Banskobystrický kraj",607,"Žiar nad Hronom",613,"Žiar nad Hronom",1,"Ivan","Korčok",9585,41.88,4753,44.77,4832,39.38
6,"Banskobystrický kraj",607,"Žiar nad Hronom",613,"Žiar nad Hronom",2,"Peter","Pellegrini",13300,58.11,5862,55.22,7438,60.61
7,"Prešovský kraj",701,"Bardejov",701,"Bardejov",1,"Ivan","Korčok",14766,42.22,7003,48.29,7763,37.92
7,"Prešovský kraj",701,"Bardejov",701,"Bardejov",2,"Peter","Pellegrini",20203,57.77,7498,51.70,12705,62.07
7,"Prešovský kraj",702,"Humenné",702,"Humenné",1,"Ivan","Korčok",9335,34.09,5070,38.19,4265,30.22
7,"Prešovský kraj",702,"Humenné",702,"Humenné",2,"Peter","Pellegrini",18048,65.90,8203,61.80,9845,69.77
7,"Prešovský kraj",702,"Humenné",705,"Medzilaborce",1,"Ivan","Korčok",1123,23.20,583,25.16,540,21.40
7,"Prešovský kraj",702,"Humenné",705,"Medzilaborce",2,"Peter","Pellegrini",3717,76.79,1734,74.83,1983,78.59
7,"Prešovský kraj",702,"Humenné",709,"Snina",1,"Ivan","Korčok",3902,25.32,2284,29.40,1618,21.17
7,"Prešovský kraj",702,"Humenné",709,"Snina",2,"Peter","Pellegrini",11507,74.67,5484,70.59,6023,78.82
7,"Prešovský kraj",703,"Kežmarok",703,"Kežmarok",1,"Ivan","Korčok",12507,47.80,5666,51.54,6841,45.10
7,"Prešovský kraj",703,"Kežmarok",703,"Kežmarok",2,"Peter","Pellegrini",13653,52.19,5326,48.45,8327,54.89
