"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Počet volebných okrskov","Počet potvrdených okrskových zápisníc","Podiel potvrdených okrskových zápisníc v %","Počet zapísaných voličov","Počet zúčastnených voličov","Účasť voličov v %","Počet odovzdaných obálok","Podiel odovzdaných obálok v %","Počet platných hlasov pre všetkých kandidátov","Podiel platných hlasov pre všetkých kandidátov v %"
7,"Prešovský kraj",708,"Svidník",712,"Svidník",78,78,100.00,24851,14442,58.11,14442,100.00,14361,99.43
7,"Prešovský kraj",709,"Vranov nad Topľou",713,"Vranov nad Topľou",93,93,100.00,60439,32221,53.31,32208,99.95,31957,99.18
8,"Košický kraj",801,"Košice",802,"Košice I",59,59,100.00,51967,31528,60.66,31526,99.99,31308,99.30
8,"Košický kraj",801,"Košice",803,"Košice II",60,60,100.00,62868,35924,57.14,35918,99.98,35685,99.33
8,"Košický kraj",801,"Košice",804,"Košice III",22,22,100.00,23069,13281,57.57,13278,99.97,13200,99.39
8,"Košický kraj",801,"Košice",805,"Košice IV",51,51,100.00,46310,27936,60.32,27922,99.94,27797,99.50
8,"Košický kraj",802,"Košice - okolie",806,"Košice - okolie",151,151,100.00,100426,52824,52.59,52819,99.99,52410,99.21
8,"Košický kraj",803,"Michalovce",807,"Michalovce",131,131,100.00,84761,41490,48.94,41488,99.99,41273,99.47
8,"Košický kraj",803,"Michalovce",809,"Sobrance",52,52,100.00,17393,9926,57.06,9926,100.00,9866,99.39
8,"Košický kraj",804,"Rožňava",808,"Rožňava",88,88,100.00,45991,21172,46.03,21171,99.99,21026,99.31
8,"Košický kraj",805,"Spišská Nová Ves",801,"Gelnica",32,32,100.00,23639,11720,49.57,11720,100.00,11620,99.14
8,"Košický kraj",805,"Spišská Nová Ves",810,"Spišská Nová Ves",86,86,100.00,73357,37851,51.59,37843,99.97,37620,99.38
8,"Košický kraj",806,"Trebišov",811,"Trebišov",128,128,100.00,80278,35304,43.97,35296,99.97,35008,99.16
