"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %","Počet platných hlasov v mestách a mestských častiach","Podiel platných hlasov v mestách a mestských častiach v %","Počet platných hlasov v obciach","Podiel platných hlasov v obciach v %"
7,"Prešovský kraj",705,"Prešov",1,"Ivan","Korčok",53574,50.72,28809,55.09,24765,46.44
7,"Prešovský kraj",705,"Prešov",2,"Peter","Pellegrini",52034,49.27,23482,44.90,28552,53.55
7,"Prešovský kraj",706,"Stará Ľubovňa",1,"Ivan","Korčok",8489,38.60,3438,44.76,5051,35.30
7,"Prešovský kraj",706,"Stará Ľubovňa",2,"Peter","Pellegrini",13499,61.39,4242,55.23,9257,64.69
7,"Prešovský kraj",707,"Stropkov",1,"Ivan","Korčok",2871,31.67,1587,38.10,1284,26.21
7,"Prešovský kraj",707,"Stropkov",2,"Peter","Pellegrini",6192,68.32,2578,61.89,3614,73.78
7,"Prešovský kraj",708,"Svidník",1,"Ivan","Korčok",3911,27.23,1851,30.03,2060,25.12
7,"Prešovský kraj",708,"Svidník",2,"Peter","Pellegrini",10450,72.76,4311,69.96,6139,74.87
7,"Prešovský kraj",709,"Vranov nad Topľou",1,"Ivan","Korčok",9129,28.56,3405,32.59,5724,26.60
7,"Prešovský kraj",709,"Vranov nad Topľou",2,"Peter","Pellegrini",22828,71.43,7041,67.40,15787,73.39
8,"Košický kraj",801,"Košice",1,"Ivan","Korčok",64582,59.80,64582,59.80,0,0.00
8,"Košický kraj",801,"Košice",2,"Peter","Pellegrini",43408,40.19,43408,40.19,0,0.00
8,"Košický kraj",802,"Košice - okolie",1,"Ivan","Korčok",24843,47.40,1414,44.87,23429,47.56
8,"Košický kraj",802,"Košice - okolie",2,"Peter","Pellegrini",27567,52.59,1737,55.12,25830,52.43
8,"Košický kraj",803,"Michalovce",1,"Ivan","Korčok",14902,29.14,7966,35.29,6936,24.27
8,"Košický kraj",803,"Michalovce",2,"Peter","Pellegrini",36237,70.85,14605,64.70,21632,75.72
8,"Košický kraj",804,"Rožňava",1,"Ivan","Korčok",8138,38.70,3796,47.16,4342,33.45
8,"Košický kraj",804,"Rožňava",2,"Peter","Pellegrini",12888,61.29,4253,52.83,8635,66.54
8,"Košický kraj",805,"Spišská Nová Ves",1,"Ivan","Korčok",20885,42.41,10754,45.84,10131,39.29
8,"Košický kraj",805,"Spišská Nová Ves",2,"Peter","Pellegrini",28355,57.58,12702,54.15,15653,60.70
8,"Košický kraj",806,"Trebišov",1,"Ivan","Korčok",11038,31.52,4854,35.19,6184,29.14
8,"Košický kraj",806,"Trebišov",2,"Peter","Pellegrini",23970,68.47,8937,64.80,15033,70.85
